,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
53,Begum Pur,28.536978,77.209941,"Om book shop, Saket",28.52948298347126,77.2085934427476,Bookstore
54,Begum Pur,28.536978,77.209941,RP's Restaurant,28.540400571989785,77.2184289208642,Indian Restaurant
55,Begum Pur,28.536978,77.209941,Noodlebox,28.53797,77.219406,Asian Restaurant
56,Begum Pur,28.536978,77.209941,Parathe Hi Parathe,28.532564904442445,77.21870962239821,Indian Restaurant
57,Dhaka,28.708698,77.205749,cafe coffee day,28.70048819308643,77.2080945968628,Coffee Shop
58,Dhaka,28.708698,77.205749,Gtb Nagar Railway Station,28.707183121238955,77.20675676115992,Train Station
59,Dhaka,28.708698,77.205749,Gelato Italiano,28.710974446585688,77.21378602080287,Ice Cream Shop
60,Dhaka,28.708698,77.205749,Batra Cinema,28.711112116736174,77.21523449045063,Indie Movie Theater
61,Dhaka,28.708698,77.205749,AIM cafe,28.7011367255292,77.20903320085691,Café
62,Dhaka,28.708698,77.205749,Korean restaurant,28.701080427580862,77.20902503434961,Korean Restaurant
63,Jahangirpuri,28.725987,77.162683,Jahangirpuri Metro Station | जहांगीरपुरी,28.726025752225787,77.16262578964233,Light Rail Station
64,Jahangirpuri,28.725987,77.162683,Bluebird Pure Private Limited,28.72523544228677,77.1623682975769,Kitchen Supply Store
65,Jahangirpuri,28.725987,77.162683,Concepts Safety Services Pvt. Ltd,28.731538938666308,77.16522216796875,IT Services
66,Jahangirpuri,28.725987,77.162683,Sargam Electronics,28.730541694402334,77.1698784828186,Electronics Store
67,Keshav Puram,28.688914,77.161652,Major Dhyan Chand Sports Complex,28.684029298330163,77.16748742045543,Athletics & Sports
68,Keshav Puram,28.688914,77.161652,Rahul Egg Corner,28.688240410906264,77.16859947234954,Snack Place
69,Keshav Puram,28.688914,77.161652,Kake Di Hatti | काके दी हट्टी,28.692933118144015,77.15277141175852,Indian Restaurant
70,Keshav Puram,28.688914,77.161652,McDonald's,28.692449639202426,77.15280511461941,Fast Food Restaurant
71,Keshav Puram,28.688914,77.161652,Major Dhyanchand Sports Complex.,28.689481966742875,77.16352775733044,Basketball Court
72,Keshav Puram,28.688914,77.161652,F - Block Market,28.689744487564482,77.16313459209786,Department Store
73,Keshav Puram,28.688914,77.161652,Haldiram,28.69293615099474,77.15287813742106,Indian Restaurant
74,Keshav Puram,28.688914,77.161652,Keshavpuram Metro Station,28.684354917616023,77.1640725698628,Train Station
75,Keshav Puram,28.688914,77.161652,Kanhaiya Nagar | कन्हैया नगर  Metro Station,28.68223129562289,77.1648027270765,Light Rail Station
76,Keshav Puram,28.688914,77.161652,D Mall,28.692602163998377,77.15274733819133,Shopping Mall
